1.1.6.a	6 a Or <em>a canopy</em>, or <em>a firmament</em>; also in verses 7, 8, 14, 15, 17, and 20
1.1.26.b	26 b MT; Syriac <em>and over all the beasts of the earth</em>
1.2.6.a	6 a Or <em>mist</em>
1.2.20.b	20 b Or <em>the man</em>
1.2.21.c	21 c Or <em>took part of the man’s side</em>
1.3.8.a	8 a Or <em>during the breezy time</em>, possibly the evening breeze; Hebrew <em>Ruach</em>
1.3.20.b	20 b <em>Eve</em> sounds like the Hebrew for <em>giving life</em> or <em>living</em>
1.4.1.a	1 a <em>Cain</em> sounds like the Hebrew for <em>acquired</em> or <em>brought forth</em>
1.4.8.b	8 b Samaritan, LXX, Syriac, Vulgate; Hebrew does not include <em>Let us go out to the field</em>
1.4.13.c	13 c Or <em>guilt,</em> or <em>sin</em>
1.4.15.d	15 d LXX, Vulgate and Syriac; Hebrew <em>Very well</em> or <em>Therefore</em>
1.4.16.e	16 e <em>Nod</em> means <em>wandering</em>
1.4.25.f	25 f <em>Seth</em> probably means <em>granted</em> or <em>appointed</em>
1.4.26.g	26 g Or <em>to worship</em>
1.5.2.a	2 a Hebrew <em>Adam</em>
1.5.22.b	22 b LXX <em>pleased God</em>; also in verse 24
1.5.24.c	24 c LXX <em>was not found</em>
1.5.29.d	29 d <em>Noah</em> sounds like the Hebrew for <em>rest</em> or <em>comfort</em>
1.6.3.a	3 a Or <em>My Spirit shall not remain in man</em>
1.6.12.b	12 b Or <em>all flesh</em>; also in verses 13 and 17
1.6.14.c	14 c An unknown kind of tree; possibly <em>cypress</em> or <em>cedar</em>
1.6.15.d	15 d That is, about 450 feet long, 75 feet wide, and 45 feet high (137 meters long, 23 meters wide, and 14 meters high)
1.6.16.e	16 e Or <em>skylight,</em> or <em>window</em>
1.6.16.f	16 f That is, about 18 inches or 45 centimeters
1.7.2.a	2 a Or <em>seven pairs</em>
1.7.20.b	20 b That is, about 23 feet or 6.8 meters
1.9.20.a	20 a Or <em>was the first</em>
1.9.27.b	27 b <em>Japheth</em> sounds like the Hebrew for <em>expand</em>
1.10.4.a	4 a Some manuscripts <em>Rodanim</em>
1.10.8.b	8 b Or <em>who established himself as</em>
1.10.9.c	9 c Or <em>in defiance of</em>; twice in this verse
1.10.14.d	14 d Hebrew <em>the Casluhites (from whom the Philistines came), and the Caphtorites.</em> Compare Jeremiah 47:4 and Amos 9:7
1.10.15.e	15 e Or <em>of the Sidonians, the foremost</em>
1.10.21.f	21 f Or <em>Shem, whose older brother was Japheth</em>
